Name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Guam,0,0,0,0,0,6695,2111,0,0,16976,6110,36493,33314,50299,3049,10931,896781,6558,130655,21458,9923,6126,4361,27862,5098,1207,36627,29408,48630
Guatemala,1701,19280,5313,20239,167150,35030,322476,247788,634033,817550,973522,485391,890780,811805,454715,302073,1369238,1518076,868978,894479,586182,1182896,2457107,1706172,275878,543165,2203080,2322916,2543022
Guinea,2546,39541,15064,1801,121159,8715,0,0,3285,10489,57131,38052,211088,671,25488,526784,27544,26174,12492,28342,3391,9028,44797,9340,1428,36969,2156561,175116,471181
Guinea-Bissau,0,0,0,0,126166,0,0,6742,0,0,0,26264,0,0,13890,10360,56714,0,0,0,0,0,472,0,6162,0,0,35662,0
Guyana,0,89993,0,8346,0,4334,2590,21154,41922,40384,4583,157028,17200,32292,13496,51053,34294,48114,51050,39959,20955,48414,101199,118995,34292,3020,22796,519,50730
Haiti,12624,10774,459769,279754,185060,64440,3091,39086,7816,21643,24312,213672,77974,59548,52393,23754,19653,0,118629,30055,18161,16172,15975,15687,102937,73120,108125,225894,33158
Heard and McDonald Islands,0,0,0,0,0,2302,0,0,0,87209,0,9277,0,0,0,0,0,0,0,0,0,0,6488,0,0,0,0,0,0
Honduras,13976,52432,407493,26233,539885,186996,229481,86682,42064,171251,211944,174641,549624,386317,257028,156703,728573,1136007,30822,239733,467223,13491612,17897577,532682,1590529,4223230,6689489,1117560,7071635
Hong Kong,3710245019,3606257932,3326268948,2910170167,4072288707,4727186875,4656210276,5772572066,6763461705,8193964869,7836428408,8700672500,10493259582,8447218139,7934749555,10907181207,11965431964,12076962442,13936706408,14376320006,15522450800,18458877218,13454928789,18537836339,21324234815,21037617154,39448189500,40432794991,54991122171
Hungary,7160719,10528415,17281195,26075055,46021535,95015272,180526559,98512114,130035714,278878333,432104965,464500064,377298389,295215201,277222400,436587464,540112810,460677265,443737998,457224465,309468008,264969789,311388217,346504362,491208908,364052825,457202136,536530208,579384130
Iceland,151471,1366110,3566575,1625993,2841524,1023655,1134068,338389,6330394,4493999,1566987,1649823,1364058,1455292,3140081,2779818,4028691,1296100,852905,1345987,1019764,837069,1230900,921720,883146,2002669,961750,3764963,675581
India,63246992,101377267,31877581,21514569,12987286,31352654,32040404,22567803,25330966,27373025,26367651,37870518,36274948,40298294,154939168,107393335,172899886,213246602,187596517,152414094,150605943,179692507,181013037,301759745,314159201,333795741,542246572,690347836,297830154
Indonesia,98312027,143552198,263859765,255061753,324021683,449289467,295027452,284613167,375250399,388303231,431739481,388100997,942760492,924444962,652794131,571088188,667523892,554844652,521896611,523545603,430202222,357911154,549901943,400560960,291786997,267805183,379322030,554078300,764858390
Iran,2005281,1062356,289126,1228985,603709,265209,1021662,4190923,2147834,733516,1016823,2512006,11910763,1283056,3497100,1533587,1355344,1477089,2362935,2951763,1329037,10841675,5149879,1278867,2050871,390588,615401,2434940,4137075
Iraq,0,0,0,7228,1094,61577,0,0,46884,205074,32127,17744,289438,13501,42695,10451,0,19172,112373,196994,4646,1786,8728,69205,290615,208728,48828,43664,36947
Ireland,1381091308,1439356072,1942665806,1991818648,2593602203,4011989730,5356482857,6435320728,3556314697,4543512817,4092122061,4181052584,4212708121,4508828732,2900859640,2232489520,1864800320,1409824158,1029688529,779067460,1632177035,6853799877,6053610873,4163074663,7397221559,7745336097,11534777358,11371044992,5908671182
Israel,441592286,414945296,531284475,398061972,404923314,315732480,266915950,148932666,746032921,911905327,619103900,676474358,633089934,793466213,3108665674,2091893537,1488170616,2159251883,3456432567,3475222442,4822283439,3037052113,2817101393,3067957773,1933281248,3066414552,3648653665,4780067646,4319431826
